LICENSEE NUMBER;NAME OF LICENSEE;ALTERNATE NAME OF LICENSEE;STREET ADDRESS;CITY;ZIP CODE;LICENSE TYPE;TELEPHONE NUMBER;TOTAL AFFILIATED;SHL ENDORSEMENT;LICENSE EXPIRATION DATE
B00001;LONDON TOWNCARS INC;;40-14   23 STREET;LIC;11101;BAS;(212) 988-9700;21;;06/30/2026
B00078;R & R ROAD LIMO SVCE INC;;865 EAST  138 STREET;BRONX;10454;BAS;(718) 585-8500;18;;05/31/2025
B00084;AUTOMOTIVE SVC SYSTEM INC;;50-21   49 STREET;WOODSIDE;11377;BAS;(212) 966-6400;4;;05/31/2025
B00208;ERNEST SCHWARZ INC;;15 CHAIN LANE;HICKSVILLE;11801;BAS;(877) 811-4846;4;;05/31/2025
B00227;PARK WEST EXEC. SERVICES, INC.;TOWN CARS;1200 SHAMES DRIVE UNIT D;WESTBURY;11590;BAS;(212) 727-7800;52;;05/31/2026
B00387;FORTUNE LIMOUSINES INC;;20-02   31 STREET;ASTORIA;11105;BAS;(718) 545-2400;6;;05/31/2026
B00623;MANHATTAN INT'L LIMO NETWORK LLC;;24-59   47 STREET;ASTORIA;11103;BAS;(718) 777-0890;12;;05/31/2026
B00837;CAREY LIMOUSINE NY, INC;;24-59   47 STREET;ASTORIA;11103;BAS;(718) 777-0890;107;;03/31/2025
B01236;BLS LIMO SVC OF NY INC;;18-20 STEINWAY STREET;ASTORIA;11105;BAS;(718) 267-5426;31;;06/30/2025
B01349;CAPRICORN LIMO SVC INC;;43-24   37 STREET;LIC;11101;BAS;(718) 729-3000;12;;03/31/2025
B01413;SFL INC;;48-50   34 STREET;LIC;11101;BAS;(212) 397-0004;34;;02/28/2025
B01644;MUSIC EXPRESS/N.Y. INC;;674 CLIFTON AVENUE;CLIFTON;07011;BAS;(212) 736-5405;40;;11/30/2025
B01742;AVALON TRANSPORTATION, LLC;;89 RIDGE RD;NORTH ARLINGTON;07031;BAS;(718) 361-1555;12;;09/30/2025
B01800;EMPIRE INTERNATIONAL LTD.;;225 MEADOWLANDS PARKWAY;SECAUCUS;07094;BAS;(201) 784-1200;243;;05/31/2025
B01843;VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.;VINCENT LIMOUSINE;42-06 BROADWAY;ASTORIA;11103;BAS;(718) 729-0900;26;;06/30/2025
B01846;ROMANTIQUE LIMOUSINE INC.;;1421   86 STREET;BROOKLYN;11228;BAS;(718) 232-7273;7;;07/31/2025
B01854;EUROPE LIMOUSINE SERVICE INC;;24 FARVIEW TERRACE;PARAMUS;07652;BAS;(201) 477-3200;28;;09/30/2025
